#Freq(Hz)	Mag(strain/ct)	Phase(rad)
8.2344	1.1316e-014	-1.3188
8.25	1.1185e-014	-1.3177
8.2656	1.1054e-014	-1.3164
8.2813	1.0932e-014	-1.3169
8.2969	1.0809e-014	-1.3166
8.3125	1.0691e-014	-1.3169
8.3281	1.0562e-014	-1.3144
8.3438	1.0449e-014	-1.3154
8.3594	1.0332e-014	-1.3149
8.375	1.0216e-014	-1.3142
8.3906	1.01e-014	-1.3132
8.4063	9.9875e-015	-1.3128
8.4219	9.8789e-015	-1.313
8.4375	9.7691e-015	-1.3125
8.4531	9.6612e-015	-1.312
8.4688	9.5551e-015	-1.3117
8.4844	9.4479e-015	-1.3106
8.5	9.3471e-015	-1.3111
8.5156	9.2458e-015	-1.311
8.5313	9.1391e-015	-1.3088
8.5469	9.044e-015	-1.3098
8.5625	8.9423e-015	-1.3083
8.5781	8.8466e-015	-1.3083
8.5938	8.7532e-015	-1.3087
8.6094	8.6588e-015	-1.3083
8.625	8.5628e-015	-1.307
8.6406	8.4688e-015	-1.3059
8.6563	8.3819e-015	-1.307
8.6719	8.2895e-015	-1.3056
8.6875	8.2018e-015	-1.3055
8.7031	8.1125e-015	-1.3044
8.7188	8.0273e-015	-1.3045
8.7344	7.9422e-015	-1.3041
8.75	7.854e-015	-1.3021
8.7656	7.7719e-015	-1.3021
8.7813	7.6886e-015	-1.3011
8.7969	7.607e-015	-1.3004
8.8125	7.5249e-015	-1.2991
8.8281	7.4483e-015	-1.2997
8.8438	7.3694e-015	-1.2989
8.8594	7.2944e-015	-1.2993
8.875	7.2157e-015	-1.2977
8.8906	7.1426e-015	-1.2982
8.9063	7.0657e-015	-1.2965
8.9219	6.9936e-015	-1.2966
8.9375	6.9198e-015	-1.2955
8.9531	6.8471e-015	-1.2945
8.9688	6.7767e-015	-1.2942
8.9844	6.7073e-015	-1.2939
9	6.6381e-015	-1.2933
9.0156	6.5695e-015	-1.2925
9.0313	6.5011e-015	-1.2914
9.0469	6.4344e-015	-1.2907
9.0625	6.3671e-015	-1.2893
9.0781	6.3025e-015	-1.2889
9.0938	6.2377e-015	-1.288
9.1094	6.175e-015	-1.2879
9.125	6.1115e-015	-1.2867
9.1406	6.0485e-015	-1.2854
9.1563	5.9874e-015	-1.2849
9.1719	5.9276e-015	-1.2846
9.1875	5.869e-015	-1.2848
9.2031	5.809e-015	-1.2835
9.2188	5.7505e-015	-1.2827
9.2344	5.6916e-015	-1.2812
9.25	5.6356e-015	-1.2812
9.2656	5.5793e-015	-1.2806
9.2813	5.5219e-015	-1.2787
9.2969	5.4676e-015	-1.2785
9.3125	5.4143e-015	-1.2786
9.3281	5.3598e-015	-1.2772
9.3438	5.3059e-015	-1.2758
9.3594	5.2556e-015	-1.2769
9.375	5.2025e-015	-1.2752
9.3906	5.1506e-015	-1.274
9.4063	5.1003e-015	-1.2734
9.4219	5.0497e-015	-1.2723
9.4375	5.0017e-015	-1.2729
9.4531	4.9512e-015	-1.2707
9.4688	4.9022e-015	-1.2694
9.4844	4.8544e-015	-1.2686
9.5	4.8089e-015	-1.2695
9.5156	4.7615e-015	-1.2681
9.5313	4.7138e-015	-1.2658
9.5469	4.6695e-015	-1.2664
9.5625	4.6238e-015	-1.265
9.5781	4.5797e-015	-1.2649
9.5938	4.5347e-015	-1.2631
9.6094	4.492e-015	-1.2632
9.625	4.4492e-015	-1.2628
9.6406	4.4055e-015	-1.2607
9.6563	4.3625e-015	-1.259
9.6719	4.322e-015	-1.2596
9.6875	4.2807e-015	-1.2586
9.7031	4.2396e-015	-1.2573
9.7188	4.1993e-015	-1.2565
9.7344	4.1591e-015	-1.2552
9.75	4.12e-015	-1.2548
9.7656	4.0808e-015	-1.2536
9.7813	4.0418e-015	-1.2519
9.7969	4.0043e-015	-1.2519
9.8125	3.9664e-015	-1.2507
9.8281	3.9297e-015	-1.2506
9.8438	3.8923e-015	-1.249
9.8594	3.8558e-015	-1.2479
9.875	3.8197e-015	-1.2468
9.8906	3.7841e-015	-1.246
9.9063	3.7486e-015	-1.2448
9.9219	3.7143e-015	-1.2448
9.9375	3.6798e-015	-1.2438
9.9531	3.6456e-015	-1.2427
9.9688	3.6116e-015	-1.2414
9.9844	3.5781e-015	-1.2401
10	3.5454e-015	-1.2397
10.0156	3.513e-015	-1.2393
10.0313	3.4804e-015	-1.2376
10.0469	3.4485e-015	-1.2367
10.0625	3.417e-015	-1.236
10.0781	3.3859e-015	-1.2353
10.0938	3.3548e-015	-1.2341
10.1094	3.324e-015	-1.2326
10.125	3.2937e-015	-1.2315
10.1406	3.2643e-015	-1.2316
10.1563	3.2345e-015	-1.2303
10.1719	3.2049e-015	-1.2283
10.1875	3.1757e-015	-1.2269
10.2031	3.1469e-015	-1.2256
10.2188	3.1189e-015	-1.2255
10.2344	3.0909e-015	-1.2248
10.25	3.0633e-015	-1.2241
10.2656	3.0355e-015	-1.2222
10.2813	3.0084e-015	-1.2213
10.2969	2.9813e-015	-1.2198
10.3125	2.9549e-015	-1.2195
10.3281	2.9287e-015	-1.2188
10.3438	2.9023e-015	-1.2166
10.3594	2.877e-015	-1.2172
10.375	2.8511e-015	-1.2147
10.3906	2.826e-015	-1.2143
10.4063	2.801e-015	-1.2131
10.4219	2.7759e-015	-1.2108
10.4375	2.752e-015	-1.2116
10.4531	2.7279e-015	-1.2111
10.4688	2.7037e-015	-1.2092
10.4844	2.6801e-015	-1.2084
10.5	2.6567e-015	-1.2077
10.5156	2.6334e-015	-1.2059
10.5313	2.6104e-015	-1.2051
10.5469	2.5877e-015	-1.204
10.5625	2.5652e-015	-1.2028
10.5781	2.5426e-015	-1.2005
10.5938	2.521e-015	-1.2017
10.6094	2.4989e-015	-1.1994
10.625	2.4773e-015	-1.1982
10.6406	2.4561e-015	-1.1977
10.6563	2.4348e-015	-1.1963
10.6719	2.4137e-015	-1.1942
10.6875	2.3933e-015	-1.195
10.7031	2.3726e-015	-1.1925
10.7188	2.3525e-015	-1.1929
10.7344	2.3322e-015	-1.1907
10.75	2.3123e-015	-1.1898
10.7656	2.2925e-015	-1.188
10.7813	2.273e-015	-1.1868
10.7969	2.2537e-015	-1.1856
10.8125	2.2347e-015	-1.186
10.8281	2.2157e-015	-1.184
10.8438	2.1969e-015	-1.1826
10.8594	2.1784e-015	-1.1817
10.875	2.16e-015	-1.1799
10.8906	2.1418e-015	-1.1794
10.9063	2.1238e-015	-1.1777
10.9219	2.106e-015	-1.1765
10.9375	2.0884e-015	-1.176
10.9531	2.0709e-015	-1.1756
10.9688	2.0536e-015	-1.1737
10.9844	2.0365e-015	-1.1729
11	2.0195e-015	-1.1707
11.0156	2.0027e-015	-1.1705
11.0313	1.986e-015	-1.1685
11.0469	1.9696e-015	-1.1683
11.0625	1.9533e-015	-1.1669
11.0781	1.9371e-015	-1.1654
11.0938	1.9212e-015	-1.1646
11.1094	1.9053e-015	-1.1627
11.125	1.8896e-015	-1.1629
11.1406	1.8741e-015	-1.1605
11.1563	1.8587e-015	-1.1598
11.1719	1.8435e-015	-1.1583
11.1875	1.8284e-015	-1.158
11.2031	1.8135e-015	-1.1561
11.2188	1.7987e-015	-1.1546
11.2344	1.784e-015	-1.1536
11.25	1.7695e-015	-1.1534
11.2656	1.7552e-015	-1.1517
11.2813	1.7409e-015	-1.1505
11.2969	1.7268e-015	-1.1495
11.3125	1.7129e-015	-1.1483
11.3281	1.699e-015	-1.1465
11.3438	1.6853e-015	-1.1452
11.3594	1.6718e-015	-1.1434
11.375	1.6583e-015	-1.1427
11.3906	1.645e-015	-1.1423
11.4063	1.6318e-015	-1.14
11.4219	1.6188e-015	-1.1389
11.4375	1.6059e-015	-1.1367
11.4531	1.593e-015	-1.1369
11.4688	1.5803e-015	-1.1365
11.4844	1.5678e-015	-1.1338
11.5	1.5553e-015	-1.1335
11.5156	1.543e-015	-1.1311
11.5313	1.5308e-015	-1.1299
11.5469	1.5187e-015	-1.1285
11.5625	1.5066e-015	-1.1279
11.5781	1.4947e-015	-1.1273
11.5938	1.4829e-015	-1.126
11.6094	1.4713e-015	-1.1245
11.625	1.4596e-015	-1.1247
