# This is the BNS population 
# Sources cataloged by Ravi Kumar
# file generated by Chad Hanna March 23 2006
#NAME	     #RA       #DEC	   #DIST   #LUM	 #FUDGE 	
NGC949       +02:27.8  +36:55.0  10300.0   0.215  1.0
UGCA116      +05:53.1  +03:24.0  10300.0   0.115  1.0
PGC015285    +04:29.6  -27:24.4  10305.6   0.024  1.0
PGC042322    +12:39.2  -40:11.2  10319.4   0.021  1.0
PGC779164    +02:45.5  -25:25.3  10333.3   0.003  1.0
ESO140-019   +18:22.7  -62:16.3  10347.2   0.007  1.0
ESO373-008   +09:33.3  -33:02.0  10347.2   0.759  1.0
UGC02432     +02:57.4  +10:08.2  10361.1   0.008  1.0
PGC029431    +10:07.4  +38:58.3  10375.0   0.017  1.0
PGC039646    +12:19.3  +06:17.6  10375.0   0.010  1.0
NGC6744      +19:05.0  -63:56.0  10400.0   5.598  1.0
NGC7090      +21:33.0  -54:47.0  10400.0   1.138  1.0
ESO418-009   +03:31.9  -31:20.3  10402.8   0.048  1.0
UGC07983     +12:49.7  +03:50.5  10402.8   0.005  1.0
PGC086398    +08:25.1  +32:01.1  10416.7   0.002  1.0
PGC1178576   +10:21.6  +00:53.9  10430.6   0.003  1.0
ESO302-009   +03:47.5  -38:34.6  10444.4   0.082  1.0
PGC014125    +03:56.0  -49:28.6  10444.4   0.027  1.0
ESO205-034   +06:13.3  -51:19.0  10458.3   0.085  1.0
ESO257-017   +07:27.5  -45:41.0  10486.1   0.008  1.0
ESO263-021   +10:14.6  -44:51.2  10486.1   0.175  1.0
ESO206-017   +06:38.3  -51:57.1  10500.0   0.052  1.0
NGC1023      +02:37.3  +38:51.0  10500.0   1.803  1.0
NGC1518      +04:04.7  -21:18.0  10500.0   0.283  1.0
NGC3600      +11:13.0  +41:52.0  10500.0   0.360  1.0
UGC11891     +22:01.5  +43:30.0  10500.0   0.391  1.0
PGC199768    +23:04.4  -39:20.9  10513.9   0.003  1.0
PGC616781    +03:17.5  -37:50.6  10527.8   0.007  1.0
ESO422-041   +05:10.7  -31:35.8  10541.7   0.141  1.0
PGC039883    +12:21.0  +12:43.6  10555.6   0.003  1.0
PGC033123    +10:59.8  +29:39.3  10583.3   0.002  1.0
NGC1507      +04:01.9  -02:19.0  10600.0   0.334  1.0
NGC1796      +05:02.1  -61:12.0  10600.0   0.158  1.0
NGC7064      +21:25.6  -52:59.0  10600.0   0.192  1.0
